prod_key,durable_prod_key,product_code,product_family,sub_acct,prod_technical_name,commercial_offer_name,offer_group_name,product_type,product_sub_type,bundle_validity,addon_type,tp_share,principle_agent,digital_price,portfolio,start_date_time,end_date_time,created_date,last_updated_date,source,batch_id,dml_ins_batch,dml_upd_batch,file_name
8312,8312,BUNDLEGIFT-MONTHLY EXTREME PLUS-1295-30,REMARKS,0,BUNDLEGIFT-MONTHLY EXTREME PLUS-1295-30,MONTHLY EXTREME PLUS - NWD - MTA - GIFT,MONTHLY EXTREME PLUS,HYBRID,HEAVY DATA HYBRID,30,DISCOUNTED,1.0000,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8264,8264,BUNDLEGIFT-MONTHLY EXTREME PLUS-1300-30,REMARKS,0,BUNDLEGIFT-MONTHLY EXTREME PLUS-1300-30,MONTHLY EXTREME PLUS - NWD - MTA - GIFT,MONTHLY EXTREME PLUS,HYBRID,HEAVY DATA HYBRID,30,DISCOUNTED,1.0000,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8324,8324,BUNDLEGIFT-WEEKLY EXTREME PLUS-360-7,REMARKS,0,BUNDLEGIFT-WEEKLY EXTREME PLUS-360-7,WEEKLY EXTREME PLUS - GIFT,WEEKLY EXTREME PLUS,HYBRID,HEAVY DATA HYBRID,7,DISCOUNTED,1.0000,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8455,8455,BUNDLEGIFT-WEEKLY EXTREME PLUS-405-7,REMARKS,0,BUNDLEGIFT-WEEKLY EXTREME PLUS-405-7,WEEKLY EXTREME PLUS - GIFT,WEEKLY EXTREME PLUS,HYBRID,HEAVY DATA HYBRID,7,DISCOUNTED,1.0000,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
7315,7315,BUNDLEGIFT-SOCIAL PACK PLUS-700-1,REMARKS,0,BUNDLEGIFT-SOCIAL PACK PLUS-700-1,SOCIAL PACK PLUS GIFT,MONTHLY SOCIAL PACK PLUS,GPRS,GPRS,30,DISCOUNTED,1.0000,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8492,8492,PL_MONTHLY SOCIAL EXTREME_SH_150_10_20,REMARKS,0,PL_MONTHLY SOCIAL EXTREME_SH_150_10_20,MONTHLY SOCIAL EXTREME_PLDISC,MONTHLY SOCIAL EXTREME,GPRS,GPRS,30,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8310,8310,BUNDLEGIFT-EASYCARD 750-795-30,REMARKS,0,BUNDLEGIFT-EASYCARD 750-795-30,EASY CARD 750  - GIFT,EASY CARD 750,HYBRID,PURE HYBRID,30,DISCOUNTED,1.0000,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8280,8280,PL_EASY CARD MEGA PLUS_GB_330_10_80,REMARKS,0,PL_EASY CARD MEGA PLUS_GB_330_10_80,EASY CARD MEGA PLUS_PLDISC,EASY CARD MEGA PLUS,HYBRID,HEAVY DATA HYBRID,7,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8488,8488,PL_WEEKLY EXTREME PLUS_SH_360_10_30,REMARKS,0,PL_WEEKLY EXTREME PLUS_SH_360_10_30,WEEKLY EXTREME PLUS_PLDISC,WEEKLY EXTREME PLUS,HYBRID,HEAVY DATA HYBRID,7,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8298,8298,BUNDLEGIFT-MY TELENOR WHATSAPP OFFER-80-30,REMARKS,0,BUNDLEGIFT-MY TELENOR WHATSAPP OFFER-80-30,MONTHLY FB&WA - NWD - GIFT,MONTHLY FB & WA OFFER,GPRS,GPRS,30,DISCOUNTED,1.0000,PRINCIPLE,0,UNKNOWN,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8489,8489,PL_MONTHLY SOCIAL EXTREME_NWD_150_10_20,REMARKS,0,PL_MONTHLY SOCIAL EXTREME_NWD_150_10_20,MONTHLY SOCIAL EXTREME_PLDISC,MONTHLY SOCIAL EXTREME,GPRS,GPRS,30,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8392,8392,BUNDLEGIFT-MONTHLY EXTREME PLUS-950-30,REMARKS,0,BUNDLEGIFT-MONTHLY EXTREME PLUS-950-30,MONTHLY EXTREME PLUS - NWD - MTA - GIFT,MONTHLY EXTREME PLUS,HYBRID,HEAVY DATA HYBRID,30,DISCOUNTED,1.0000,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8276,8276,PL_WEEKLY EXTREME PLUS_NWD_360_10_40,REMARKS,0,PL_WEEKLY EXTREME PLUS_NWD_360_10_40,WEEKLY EXTREME PLUS_PLDISC,WEEKLY EXTREME PLUS,HYBRID,HEAVY DATA HYBRID,7,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
