NETWORKCODE,INTERNUMBERHEAD,COUNTRYCODE
80949,180949,1
809501,1809501,1
809502,1809502,1
809503,1809503,1
809504,1809504,1
809505,1809505,1
809506,1809506,1
809507,1809507,1
809509,1809509,1
809510,1809510,1
809512,1809512,1
809513,1809513,1
809514,1809514,1
809515,1809515,1
8095150,18095150,1
80951569,180951569,1
8095157,18095157,1
8095158,18095158,1
8095159,18095159,1
809516,1809516,1
809517,1809517,1
809519,1809519,1
809520,1809520,1
809521,1809521,1
809522,1809522,1
809523,1809523,1
8095234,18095234,1
8095235,18095235,1
8095236,18095236,1
8095237,18095237,1
80952390,180952390,1
80952392,180952392,1
80952393,180952393,1
80952394,180952394,1
80952395,180952395,1
80952396,180952396,1
80952397,180952397,1
80952398,180952398,1
80952399,180952399,1
809524,1809524,1
809525,1809525,1
809526,1809526,1
8095265,18095265,1
80952690,180952690,1
809527,1809527,1
809528,1809528,1
809529,1809529,1
80953030,180953030,1
80953031,180953031,1
80953032,180953032,1
80953033,180953033,1
80953034,180953034,1
8095380,18095380,1
8095381,18095381,1
8095382,18095382,1
8095383,18095383,1
809539,1809539,1
8095390,18095390,1
8095394,18095394,1
8095395,18095395,1
8095396,18095396,1
8095397,18095397,1
8095398,18095398,1
80953990,180953990,1
80954290,180954290,1
80954291,180954291,1
80954292,180954292,1
80954293,180954293,1
80954295,180954295,1
80954296,180954296,1
80954297,180954297,1
80954298,180954298,1
809543,1809543,1
8095430,18095430,1
8095431,18095431,1
8095432,18095432,1
8095433,18095433,1
8095434,18095434,1
8095435,18095435,1
8095436,18095436,1
8095437,18095437,1
8095438,18095438,1
8095439,18095439,1
809545,1809545,1
8095450,18095450,1
8095451,18095451,1
8095452,18095452,1
8095453,18095453,1
8095454,18095454,1
8095455,18095455,1
8095456,18095456,1
8095457,18095457,1
8095458,18095458,1
8095459,18095459,1
809546,1809546,1
809550,1809550,1
809551,1809551,1
809552,1809552,1
809553,1809553,1
809554,1809554,1
809556,1809556,1
809557,1809557,1
809558,1809558,1
809559,1809559,1
8095596,18095596,1
80955960,180955960,1
80955961,180955961,1
80955962,180955962,1
80955963,180955963,1
8095597,18095597,1
8095598,18095598,1
80955990,180955990,1
80955991,180955991,1
809571,1809571,1
8095715,18095715,1
8095716,18095716,1
809572,1809572,1
809573,1809573,1
809574,1809574,1
8095745,18095745,1
809577,1809577,1
809578,1809578,1
8095788,18095788,1
809579,1809579,1
8095802,18095802,1
8095804,18095804,1
80958046,180958046,1
80958047,180958047,1
80958092,180958092,1
8095812,18095812,1
809584,1809584,1
809585,1809585,1
80958510,180958510,1
80958511,180958511,1
80958512,180958512,1
80958513,180958513,1
80958514,180958514,1
80958515,180958515,1
8095855,18095855,1
8095856,18095856,1
809586,1809586,1
809587,1809587,1
80958700,180958700,1
80958701,180958701,1
80958702,180958702,1
80958703,180958703,1
80958704,180958704,1
8095871,18095871,1
8095873,18095873,1
8095874,18095874,1
8095875,18095875,1
8095876,18095876,1
80958790,180958790,1
80958793,180958793,1
80958794,180958794,1
80958795,180958795,1
80958796,180958796,1
80958799,180958799,1
809588,1809588,1
809589,1809589,1
809601,1809601,1
809602,1809602,1
809603,1809603,1
809604,1809604,1
809605,1809605,1
809606,1809606,1
809607,1809607,1
809608,1809608,1
809609,1809609,1
809610,1809610,1
809613,1809613,1
809614,1809614,1
809615,1809615,1
809617,1809617,1
809618,1809618,1
809619,1809619,1
809624,1809624,1
809627,1809627,1
809628,1809628,1
809629,1809629,1
809630,1809630,1
809631,1809631,1
809632,1809632,1
809634,1809634,1
809635,1809635,1
809637,1809637,1
809639,1809639,1
80964,180964,1
809650,1809650,1
809651,1809651,1
809652,1809652,1
809653,1809653,1
809654,1809654,1
809656,1809656,1
809657,1809657,1
809658,1809658,1
809659,1809659,1
80966,180966,1
809660,1809660,1
809661,1809661,1
809662,1809662,1
809663,1809663,1
809664,1809664,1
809665,1809665,1
809666,1809666,1
809667,1809667,1
809668,1809668,1
809669,1809669,1
809670,1809670,1
809671,1809671,1
809672,1809672,1
809673,1809673,1
809674,1809674,1
809675,1809675,1
809676,1809676,1
809677,1809677,1
809678,1809678,1
8096790,18096790,1
8096791,18096791,1
8096792,18096792,1
809680,1809680,1
809690,1809690,1
8096916,18096916,1
8096917,18096917,1
8096918,18096918,1
8096919,18096919,1
809693,1809693,1
809694,1809694,1
809696,1809696,1
809697,1809697,1
809698,1809698,1
809702,1809702,1
809703,1809703,1
809704,1809704,1
809705,1809705,1
809706,1809706,1
809707,1809707,1
809708,1809708,1
809709,1809709,1
809710,1809710,1
809712,1809712,1
809713,1809713,1
809714,1809714,1
809715,1809715,1
809716,1809716,1
809717,1809717,1
809718,1809718,1
809719,1809719,1
809720,1809720,1
809721,1809721,1
809722,1809722,1
809723,1809723,1
809725,1809725,1
809727,1809727,1
809729,1809729,1
809733,1809733,1
809737,1809737,1
80973784,180973784,1
80973785,180973785,1
80973786,180973786,1
80973787,180973787,1
80973788,180973788,1
80973789,180973789,1
8097379,18097379,1
809739,1809739,1
809742,1809742,1
809743,1809743,1
809744,1809744,1
809746,1809746,1
809747,1809747,1
809749,1809749,1
809750,1809750,1
809751,1809751,1
809752,1809752,1
809753,1809753,1
809754,1809754,1
809755,1809755,1
8097550,18097550,1
8097552,18097552,1
80975530,180975530,1
80975535,180975535,1
80975540,180975540,1
80975541,180975541,1
80975542,180975542,1
80975543,180975543,1
80975544,180975544,1
809756,1809756,1
809757,1809757,1
809758,1809758,1
809759,1809759,1
809760,1809760,1
809761,1809761,1
809762,1809762,1
809763,1809763,1
809764,1809764,1
809765,1809765,1
809767,1809767,1
809768,1809768,1
809769,1809769,1
80977050,180977050,1
80977060,180977060,1
80977070,180977070,1
809771,1809771,1
809772,1809772,1
809773,1809773,1
809774,1809774,1
809775,1809775,1
809776,1809776,1
809777,1809777,1
809778,1809778,1
809779,1809779,1
809780,1809780,1
809781,1809781,1
809782,1809782,1
809783,1809783,1
80978440,180978440,1
80978441,180978441,1
80978442,180978442,1
809785,1809785,1
809786,1809786,1
809787,1809787,1
809789,1809789,1
80979,180979,1
809790,1809790,1
809791,1809791,1
809792,1809792,1
